player_name,matches,innings,not_outs,runs,balls_faced,average,strike_rate,hundreds,fifties,fours,sixes
Sompal Kami,3,3,1,8,11,4.0,72.73,0,0,0,1
Soumya Sarkar,16,16,0,151,153,9.44,98.69,0,0,15,4
Sultan Ahmed,2,2,0,2,5,1.0,40.0,0,0,0,0
Suraj Kumar,1,1,0,4,7,4.0,57.14,0,0,0,0
T Bavuma,9,9,2,161,146,23.0,110.27,0,0,12,4
T Munyonga,2,2,0,7,10,3.5,70.0,0,0,1,0
T Shamsi,2,2,2,1,2,,50.0,0,0,0,0
T Stubbs,11,11,3,196,194,24.5,101.03,0,0,15,4
T van der Gugten,1,1,0,0,1,0.0,0.0,0,0,0,0
TA Boult,1,1,0,7,4,7.0,175.0,0,0,0,1
TAM Siriwardana,3,3,0,22,20,7.33,110.0,0,0,2,1
TG Southee,3,3,2,5,4,5.0,125.0,0,0,1,0
TH David,6,6,2,85,55,21.25,154.55,0,0,7,4
TJG Pringle,9,9,1,54,74,6.75,72.97,0,0,1,1
TL Chatara,3,3,1,13,19,6.5,68.42,0,0,1,0
TL Seifert,2,2,1,16,14,16.0,114.29,0,0,2,0
TLW Cooper,9,9,-1,122,123,12.2,99.19,0,0,9,3
TM Dilshan,3,3,0,50,52,16.67,96.15,0,0,5,2
TM Head,6,6,1,255,158,51.0,161.39,0,2,26,15
TP Ura,5,5,0,6,21,1.2,28.57,0,0,0,0
Tamim Iqbal,6,6,2,295,207,73.75,142.51,1,2,24,14
Tanwir Afzal,1,1,0,0,4,0.0,0.0,0,0,0,0
Tanzid Hasan,6,6,0,76,76,12.67,100.0,0,0,11,1
Tanzim Hasan Sakib,4,4,3,9,13,9.0,69.23,0,0,0,0
Taskin Ahmed,11,11,6,59,73,11.8,80.82,0,0,5,1
Towhid Hridoy,6,6,0,139,110,23.17,126.36,0,0,7,8
UT Khawaja,4,4,0,143,104,35.75,137.5,0,1,22,2
Umar Akmal,4,4,0,78,64,19.5,121.88,0,0,4,2
Usman Khan,4,4,1,20,22,6.67,90.91,0,0,1,0
V Aravind,3,3,0,48,71,16.0,67.61,0,0,3,0
