player_name,matches_bat,innings,not_outs,runs,balls_faced,bat_avg,bat_sr,hundreds,fifties,fours,sixes,matches_bowl,overs,balls_bowled,runs_conceded,wickets,bowl_avg,economy,bowl_sr,four_wickets,five_wickets
D Heyliger,3.0,3.0,2.0,10.0,14.0,10.0,71.43,0.0,0.0,1.0,0.0,3.0,11.67,70.0,58.0,5.0,11.6,4.97,14.0,0.0,0.0
D Pretorius,2.0,2.0,0.0,1.0,3.0,0.5,33.33,0.0,0.0,0.0,0.0,5.0,15.0,90.0,102.0,9.0,11.33,6.8,10.0,0.0,0.0
D Ramdin,3.0,3.0,1.0,18.0,28.0,9.0,64.29,0.0,0.0,1.0,0.0,,,,,,,,,,
D Ravu,2.0,2.0,0.0,6.0,9.0,3.0,66.67,0.0,0.0,1.0,0.0,2.0,8.17,49.0,69.0,2.0,34.5,8.45,24.5,0.0,0.0
D Wiese,15.0,16.0,6.0,359.0,260.0,35.9,138.08,0.0,2.0,20.0,19.0,16.0,51.83,311.0,360.0,16.0,22.5,6.95,19.44,0.0,0.0
D la Cock,2.0,2.0,0.0,9.0,11.0,4.5,81.82,0.0,0.0,1.0,0.0,,,,,,,,,,
DA Miller,16.0,16.0,7.0,320.0,281.0,35.56,113.88,0.0,2.0,18.0,15.0,,,,,,,,,,
DA Warner,20.0,20.0,2.0,521.0,375.0,28.94,138.93,0.0,5.0,53.0,20.0,,,,,,,,,,
DE Budge,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
DJ Bravo,8.0,8.0,1.0,61.0,65.0,8.71,93.85,0.0,0.0,4.0,2.0,9.0,38.5,231.0,305.0,11.0,27.73,7.92,21.0,0.0,0.0
DJ Hooda,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
DJ Malan,7.0,7.0,2.0,154.0,135.0,30.8,114.07,0.0,0.0,14.0,2.0,,,,,,,,,,
DJ Mitchell,12.0,12.0,4.0,331.0,246.0,41.38,134.55,0.0,2.0,21.0,11.0,1.0,1.0,6.0,19.0,0.0,,19.0,,0.0,0.0
DJ Willey,1.0,1.0,-1.0,21.0,14.0,10.5,150.0,0.0,0.0,1.0,2.0,5.0,17.83,107.0,139.0,8.0,17.38,7.79,13.38,0.0,0.0
DJG Sammy,2.0,2.0,0.0,2.0,3.0,1.0,66.67,0.0,0.0,0.0,0.0,1.0,1.0,6.0,14.0,0.0,,14.0,,0.0,0.0
DM Nakrani,3.0,3.0,0.0,4.0,18.0,1.33,22.22,0.0,0.0,0.0,0.0,1.0,3.0,18.0,20.0,1.0,20.0,6.67,18.0,0.0,0.0
DM de Silva,9.0,9.0,0.0,166.0,147.0,18.44,112.93,0.0,0.0,13.0,3.0,6.0,13.33,80.0,85.0,6.0,14.17,6.38,13.33,0.0,0.0
DP Conway,13.0,13.0,3.0,300.0,266.0,30.0,112.78,0.0,1.0,27.0,6.0,,,,,,,,,,
DS Airee,3.0,3.0,0.0,32.0,48.0,10.67,66.67,0.0,0.0,2.0,1.0,3.0,9.67,58.0,49.0,6.0,8.17,5.07,9.67,0.0,0.0
DS Bajwa,2.0,2.0,0.0,18.0,14.0,9.0,128.57,0.0,0.0,2.0,1.0,,,,,,,,,,
DT Tiripano,,,,,,,,,,,,1.0,3.83,23.0,23.0,2.0,11.5,6.0,11.5,0.0,0.0
DW Steyn,,,,,,,,,,,,2.0,6.33,38.0,69.0,1.0,69.0,10.89,38.0,0.0,0.0
E Chigumbura,1.0,1.0,0.0,20.0,17.0,20.0,117.65,0.0,0.0,1.0,1.0,,,,,,,,,,
E Lewis,8.0,8.0,0.0,147.0,130.0,18.38,113.08,0.0,1.0,13.0,8.0,,,,,,,,,,
EJG Morgan,9.0,9.0,3.0,134.0,115.0,22.33,116.52,0.0,0.0,8.0,6.0,,,,,,,,,,
Ebadat Hossain,,,,,,,,,,,,1.0,3.33,20.0,29.0,1.0,29.0,8.7,20.0,0.0,0.0
F Achelam,1.0,1.0,0.0,9.0,13.0,9.0,69.23,0.0,0.0,1.0,0.0,,,,,,,,,,
F Behardien,,,,,,,,,,,,1.0,3.0,18.0,15.0,2.0,7.5,5.0,9.0,0.0,0.0
F Hand,3.0,3.0,0.0,12.0,11.0,4.0,109.09,0.0,0.0,2.0,0.0,3.0,5.83,35.0,56.0,1.0,56.0,9.6,35.0,0.0,0.0
F Nsubuga,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.17,43.0,33.0,2.0,16.5,4.6,21.5,0.0,0.0
F du Plessis,3.0,3.0,0.0,57.0,60.0,19.0,95.0,0.0,0.0,4.0,1.0,,,,,,,,,,
FH Allen,8.0,8.0,0.0,130.0,93.0,16.25,139.78,0.0,0.0,15.0,6.0,,,,,,,,,,
FJ Klaassen,5.0,5.0,2.0,11.0,17.0,3.67,64.71,0.0,0.0,0.0,0.0,11.0,41.5,249.0,248.0,10.0,24.8,5.98,24.9,0.0,0.0
Fakhar Zaman,9.0,9.0,1.0,132.0,113.0,16.5,116.81,0.0,1.0,7.0,7.0,,,,,,,,,,
Fayyaz Butt,3.0,3.0,0.0,9.0,15.0,3.0,60.0,0.0,0.0,1.0,0.0,3.0,7.67,46.0,61.0,4.0,15.25,7.96,11.5,0.0,0.0
G Motie,2.0,2.0,2.0,4.0,8.0,,50.0,0.0,0.0,1.0,0.0,6.0,17.0,102.0,121.0,6.0,20.17,7.12,17.0,0.0,0.0
GC Wilson,2.0,2.0,0.0,42.0,38.0,21.0,110.53,0.0,0.0,6.0,0.0,,,,,,,,,,
GD Elliott,5.0,5.0,2.0,50.0,46.0,16.67,108.7,0.0,0.0,4.0,0.0,5.0,13.17,79.0,75.0,3.0,25.0,5.7,26.33,0.0,0.0
GD Phillips,11.0,11.0,1.0,346.0,254.0,34.6,136.22,1.0,2.0,25.0,15.0,2.0,2.0,12.0,22.0,0.0,,11.0,,0.0,0.0
GH Dockrell,10.0,10.0,2.0,144.0,122.0,18.0,118.03,0.0,0.0,14.0,2.0,6.0,12.5,75.0,83.0,5.0,16.6,6.64,15.0,0.0,0.0
GJ Delany,11.0,11.0,1.0,184.0,145.0,18.4,126.9,0.0,0.0,15.0,8.0,9.0,28.83,173.0,215.0,7.0,30.71,7.46,24.71,0.0,0.0
GJ Maxwell,17.0,17.0,2.0,310.0,241.0,20.67,128.63,0.0,0.0,25.0,13.0,16.0,35.83,215.0,279.0,10.0,27.9,7.79,21.5,0.0,0.0
