match_id,inning_no,batting_team,bowling_team,over,ball_in_over,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,is_wicket,wicket_player_out,wicket_kind,wicket_fielder,extras_type,commentary_short,commentary
1415721,2,Bangladesh,South Africa,19,7,Taskin Ahmed,KA Maharaj,Rishad Hossain,1,0,1,0,,,,,"Maharaj to Taskin Ahmed, 1 run, What a thriller. Once again the ball slips out of Maharaj's hand and he serves a high fu","Maharaj to Taskin Ahmed, 1 run, What a thriller. Once again the ball slips out of Maharaj's hand and he serves a high full toss wide of off. Taskin Ahmed can only slash it into the covers. The batters wait in anticipation hoping that could be a height no ball, but the umpires are having none of it. Game over!!"
1415722,1,Canada,Pakistan,0,1,A Johnson,Shaheen Shah Afridi,NS Dhaliwal,4,0,4,0,,,,,"Shaheen Afridi to Aaron Johnson, , nice little gift first up and Johnson capitalizes. Full toss on the pads, flicked in ","Shaheen Afridi to Aaron Johnson, , nice little gift first up and Johnson capitalizes. Full toss on the pads, flicked in front of square and the ball races away. Johnson and Canada are of the mark with a boundary"
1415722,1,Canada,Pakistan,0,2,A Johnson,Shaheen Shah Afridi,NS Dhaliwal,4,0,4,0,,,,,"Shaheen Afridi to Aaron Johnson, , back to back boundaries. Some words exchanged between Shaheen and Babar. The skipper ","Shaheen Afridi to Aaron Johnson, , back to back boundaries. Some words exchanged between Shaheen and Babar. The skipper is not happy. Low inswinging full toss and Johnson was ready for it, he brings his bat down and eases it straight of mid-off"
1415722,1,Canada,Pakistan,0,3,A Johnson,Shaheen Shah Afridi,NS Dhaliwal,2,0,2,0,,,,,"Shaheen Afridi to Aaron Johnson, 2 runs, finally pitches one, fullish delivery around off, Johnson chips it down the gro","Shaheen Afridi to Aaron Johnson, 2 runs, finally pitches one, fullish delivery around off, Johnson chips it down the ground and Babar hunts it down, two more"
1415722,1,Canada,Pakistan,0,4,A Johnson,Shaheen Shah Afridi,NS Dhaliwal,0,0,0,0,,,,,"Shaheen Afridi to Aaron Johnson, no run, I0$ fuller and close to off, Johnson pushes it towards cover","Shaheen Afridi to Aaron Johnson, no run, I0$ fuller and close to off, Johnson pushes it towards cover"
1415722,1,Canada,Pakistan,0,5,A Johnson,Shaheen Shah Afridi,NS Dhaliwal,0,1,1,0,,,,legbyes,"Shaheen Afridi to Aaron Johnson, leg byes, 1 run, stifled appeal for LBW. The length was right but the line was around l","Shaheen Afridi to Aaron Johnson, leg byes, 1 run, stifled appeal for LBW. The length was right but the line was around leg-stump, pitched outside leg too, beats Johnson's inside edge and strikes him on the pad"
1415722,1,Canada,Pakistan,0,6,NS Dhaliwal,Shaheen Shah Afridi,A Johnson,0,0,0,0,,,,,"Shaheen Afridi to Navneet Dhaliwal, no run, goes for the inswinging yorker and ends up bowling a full toss, Dhaliwal kno","Shaheen Afridi to Navneet Dhaliwal, no run, goes for the inswinging yorker and ends up bowling a full toss, Dhaliwal knocks it to cover and allows Shaheen to get away with it. Poor first over.. Three full tosses out of the six balls"
1415722,1,Canada,Pakistan,1,1,A Johnson,Naseem Shah,NS Dhaliwal,0,1,1,0,,,,wides,"Naseem Shah to Aaron Johnson, , third boundary for Johnson. Again short and wide outside off, Johnson does not let it pa","Naseem Shah to Aaron Johnson, , third boundary for Johnson. Again short and wide outside off, Johnson does not let it pass this time, he goes up and over the point region with the cut shot"
1415722,1,Canada,Pakistan,1,2,A Johnson,Naseem Shah,NS Dhaliwal,4,0,4,0,,,,,"Naseem Shah to Aaron Johnson, , short of length delivery outside off, Johnson ignores and it is called a wide","Naseem Shah to Aaron Johnson, , short of length delivery outside off, Johnson ignores and it is called a wide"
1415722,1,Canada,Pakistan,1,3,A Johnson,Naseem Shah,NS Dhaliwal,0,0,0,0,,,,,"Naseem Shah to Aaron Johnson, no run, back of a length and swinging away, Johnson has a poke before withdrawing his bat ","Naseem Shah to Aaron Johnson, no run, back of a length and swinging away, Johnson has a poke before withdrawing his bat inside the line"
