batter,bowler,balls,runs_scored,wickets,cnt_0,cnt_1,cnt_2,cnt_3,cnt_4,cnt_6,prob_0,prob_1,prob_2,prob_3,prob_4,prob_6,prob_W,expected_runs,strike_rate
AD Poynter,RE van der Merwe,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AD Russell,A Nehra,4,8,0,1,2,0,0,0,1,0.25,0.5,0.0,0.0,0.0,0.25,0.0,2.0,200.0
AD Russell,A Nortje,4,13,1,1,1,0,0,0,2,0.25,0.25,0.0,0.0,0.0,0.5,0.25,3.25,325.0
AD Russell,A Vala,2,3,0,0,1,1,0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.5,150.0
AD Russell,AU Rashid,3,1,2,2,1,0,0,0,0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.6667,0.3333,33.33
AD Russell,B Masaba,2,2,0,0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
AD Russell,BA Stokes,5,7,0,2,1,1,0,1,0,0.4,0.2,0.2,0.0,0.2,0.0,0.0,1.4,140.0
AD Russell,C Karunaratne,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AD Russell,C Kyewuta,9,20,0,4,0,0,0,5,0,0.4444,0.0,0.0,0.0,0.5556,0.0,0.0,2.2222,222.22
AD Russell,CH Morris,3,2,0,1,2,0,0,0,0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.6667,66.67
AD Russell,CJ Jordan,7,3,0,4,3,0,0,0,0,0.5714,0.4286,0.0,0.0,0.0,0.0,0.0,0.4286,42.86
AD Russell,D Pretorius,3,5,0,1,1,0,0,1,0,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.0,1.6667,166.67
AD Russell,DJ Willey,2,1,1,1,1,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,50.0
AD Russell,DM Nakrani,4,6,0,1,2,0,0,1,0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,1.5,150.0
AD Russell,HH Pandya,5,11,0,2,1,0,0,1,1,0.4,0.2,0.0,0.0,0.2,0.2,0.0,2.2,220.0
AD Russell,Imran Tahir,5,2,1,3,2,0,0,0,0,0.6,0.4,0.0,0.0,0.0,0.0,0.2,0.4,40.0
