batter,bowler,balls_with_commentary,avg_sentiment_score,boundary_pct,dot_pct,dominant_pct,controlled_pct,mistimed_pct,beaten_pct,defensive_pct,pressure_index
AC Agar,LS Livingstone,6,0.1667,0.0,0.6667,0.0,0.3333,0.0,0.0,0.6667,0.0
AC Agar,TS Mills,2,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AD Hales,AR Patel,13,0.1154,0.0,0.5385,0.0,0.5385,0.0,0.1538,0.3077,0.1538
AD Hales,Arshdeep Singh,4,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AD Hales,B Kumar,4,0.375,0.0,0.25,0.0,0.75,0.0,0.0,0.25,0.0
AD Hales,CAK Rajitha,5,0.4,0.2,0.4,0.2,0.4,0.0,0.0,0.4,-0.2
AD Hales,CBRLS Kumara,3,0.5,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.3333,-0.3333
AD Hales,DM de Silva,4,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AD Hales,HH Pandya,6,0.3333,0.0,0.3333,0.0,0.6667,0.0,0.0,0.3333,0.0
AD Hales,IS Sodhi,5,0.4,0.0,0.2,0.0,0.8,0.0,0.0,0.2,0.0
AD Hales,J Little,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AD Hales,LH Ferguson,3,0.3333,0.0,0.3333,0.0,0.6667,0.0,0.0,0.3333,0.0
AD Hales,M Theekshana,6,0.1667,0.0,0.6667,0.0,0.3333,0.0,0.0,0.6667,0.0
AD Hales,MJ Santner,11,0.0455,0.0,0.5455,0.0,0.4545,0.0,0.1818,0.3636,0.1818
AD Hales,MR Adair,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AD Hales,Mohammed Shami,5,0.2,0.0,0.6,0.0,0.4,0.0,0.0,0.6,0.0
AD Hales,PWH de Silva,5,0.2,0.0,0.6,0.0,0.4,0.0,0.0,0.6,0.0
AD Hales,R Ashwin,4,0.625,0.25,0.0,0.25,0.75,0.0,0.0,0.0,-0.25
AD Hales,Shaheen Shah Afridi,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AD Hales,TA Boult,5,-0.1,0.0,0.8,0.0,0.2,0.0,0.2,0.6,0.2
AD Hales,TG Southee,7,0.0,0.0,0.7143,0.0,0.2857,0.0,0.1429,0.5714,0.1429
AD Mathews,A Nortje,7,-0.0714,0.0,0.8571,0.1429,0.1429,0.0,0.2857,0.4286,0.1429
AD Mathews,BFW de Leede,7,0.3571,0.0,0.2857,0.0,0.7143,0.0,0.0,0.2857,0.0
AD Mathews,K Rabada,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AD Mathews,KA Maharaj,6,0.25,0.1667,0.6667,0.1667,0.1667,0.0,0.0,0.6667,-0.1667
AD Mathews,LV van Beek,2,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AD Mathews,M Jansen,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AD Mathews,Mustafizur Rahman,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AD Mathews,Rishad Hossain,5,0.3,0.0,0.4,0.0,0.6,0.0,0.0,0.4,0.0
AD Mathews,TJG Pringle,3,0.3333,0.0,0.3333,0.0,0.6667,0.0,0.0,0.3333,0.0
AD Mathews,Tanzim Hasan Sakib,8,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AD Mathews,Taskin Ahmed,3,-0.1667,0.0,0.6667,0.0,0.3333,0.0,0.3333,0.3333,0.3333
AD Russell,A Nortje,2,0.75,0.5,0.0,0.5,0.5,0.0,0.0,0.0,-0.5
AD Russell,A Vala,2,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AD Russell,AU Rashid,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AD Russell,B Masaba,2,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AD Russell,C Kyewuta,5,0.6,0.6,0.4,0.4,0.4,0.0,0.0,0.2,-0.4
AD Russell,D Pretorius,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
